id,type,status,tiny_link,title,content,is_internal
11862238,page,current,https://michael-ai.com/x/3gC1,Contact Info,"my contact information is Name: Michael AI  address: 123 Michael Street Scottsdale Arizona",False
11862387,page,current,https://michael-ai.com/x/cwG1,InfoAI- Browser Settings– Chrome (MAC),"Verifying Version of browser Click on the Chrome button in the upper left hand corner of the screen A drop down box should appear, click on About Google Chrome Another window will appear with the version currently running on your computer Clearing the Cache Click the menu button, the 3 lines in the upper right corner of the home page Go to Tools Click Clear Browsing Data Select 'Obliterate the following items from' to 'the beginning of time' Check the box for ‘Cached images and files’ Click Clear Browsing Data Form Auto Fill Click the menu button, the 3 lines in the upper right corner of the home page Go to Settings Click Show advanced settings Uncheck 'enable auto fill to fill out web forms...' Clear Saved Auto fill Click the menu button, the 3 lines in the upper right corner of the home page Click on Tools Click Clear Browsing Data Select Obliterate the following items from 'the beginning of time' Check Auto fill form Data Click Clear Browsing Data Exit out of all internet browsers then reopen and type address all the way through Passwords Click the menu button on the upper right corner of home page Go to Settings Click Show Advanced Settings Scroll down to passwords and Forms To view what has been saved or to clear saved passwords click Manage saved passwords To remove Hover over the name of the site and click the X to remove Clear All Saved Passwords Click the menu button on the upper right corner of home page Click on Tools Select Clear Browsing Data Select Obliterate the following items from 'the beginning of time' Check Passwords and click Clear Browsing Data Exit out of all internet browsers and reopen one up and retype the address all the way through Cookie Handling Click the menu button on the upper right corner of home page Click Settings Press Show Advanced Settings Click on Content Settings then select 'all cookies and site data' Remove all or select one to remove Clear all Cookies Click the menu button on the upper right corner of the home page Go to Tools Click Clear Browsing Data Select Obliterate the following items from 'the beginning of time' Check the box cookies and other site and plug-in data Click Clear Browsing data Enable or disable pop-ups Click the menu button on the upper right corner of the home page Go to settings Click Show advanced Settings Click Content Settings Scroll down to pop-ups Select either allow pop-ups or do not allow Manage Pop-ups Click Manage Exceptions Enter the site name then click Done To remove an item hover over the name and click the X to the right Click Done Margin settings - Margin settings can only be found under the Print screen Page scale - No “scale/scaling” capabilities found on Chrome",False
11862389,page,current,https://michael-ai.com/x/dQG1,InfoAI- Browser Settings– Firefox (MAC),"Problems that would constitute a browser setting: The system keeps loading when searching, logging in or when I navigate from screen to screen. When I enter my ID and Password the system clears the information and returns to the login page. The Picture is not displaying on the listings The webpage cannot be displayed. Deleting temporary internet files and Cache: Click on History in the upper left hand corner of your screen Click on Clear recent History. Change ‘Time Range to Clear’ to “everything” Check Browsing & Download History, Form & Search History and Cache Click Clear Now Once done exit out of all your internet browsers Reopen one up and type the address all the way through SomeCompany.michael-ai.com Verifying Version of browser: Click on the Firefox button in the upper left hand corner of the screen. A drop down box should appear, click on About Firefox. Another Box will appear with the version currently running on your computer. Updating the browser version: (Firefox on the Mac by default should be set up to automatically update) If they need to manually update Firefox they should go to the Firefox button in the top left hand side of the screen Then select “About Firefox” it will begin automatically searching for updates and install them. Simply wait for the update to finish downloading and installing, if it needs to keep downloading additional updates it will do so on its own. Adding an allowed site and adding allowed pop-ups: Click on the Firefox button on the top left hand side of the screen. Click on “Preferences” Select the “Content” tab. Check the box next to block pop-up windows and click “Exceptions”. Enter the address http://SomeCompany.michael-ai.com Check the box next to load images automatically and click “Exceptions”. Enter the address http://SomeCompany.michael-ai.com Removing the auto complete function: Click on Firefox in the upper left hand corner of your screen. Click on 'Preferences'. Select the 'Security' tab. Uncheck the box next to Remember passwords for sites. Deleting saved password(s): Removal of passwords can be done individually. Click on Firefox in the upper left hand corner of your screen Click on 'Preferences' Select the 'Security' tab. Click on ‘Saved Passwords…’ In the Search bar, type - michael-ai Highlight sites related to michael-ai and Remove or Remove All Page setup items: Margin settings: Margin settings cannot be found under the Print screen on Firefox. Click on ‘File’ from the top drop down menu Click on ‘Page Setup…' Click on ‘Paper Size' drop down menu Choose 'Manage Custom Sizes…' Click on ‘+’ to add a new your own “paper size” Click on “Untitled” and rename if preferred Make changes as needed to margin fields and click OK Page scale: Click on ‘File’ from the top drop down menu Click on ‘Page Setup…' Make changes as needed to ‘Scale’ and click OK Normally scale is set at 100%",False
11862395,page,current,https://michael-ai.com/x/ewG1,Primary Photo does not Display on Websites,"Problem: The listing photo marked as Primary in michael-ai is not displaying as the Primary photo on the Listing Detail Report on syndication websites. The photo in the first position on the Change Listing: Photos page is the one that shows in its place. This takes place when the photo marked as Primary is not the first in the list on the Change Listing screen. Syndication sites (besides Realtor.com ) cannot decipher the primary photo flag indication so they display the first photo in the list as the primary photo. This can be corrected by going to the Change Listing screen and dragging the flagged Primary photo to the first position in the list of photos. Primary Photo - displays on michael-ai 1st Photo- Displays on third party sites *Note; Residential for Sale and Residential for Lease listings are required to include a front exterior photo, however it does not have to be the main photo.",False
11862397,page,current,https://michael-ai.com/x/fQG1,SomeCompany - Pool Fields,"Description pool types and ways to search for the desired pool results. Environment michael-ai > Quick Search > Add a Field Resolution There are two pool fields available in the Residential and Rental property types – Pool (under General Property Description ) and Pool Features . The options for each field are: Pool Field Both Private & Community Community None Private Pool Features Private Fenced Diving Pool Heated Indoor Play Pool Lap Above Ground Solar Pool Equipment Solar Thermal Sys Variable Speed Pump No Pool If searching for either private pool OR community pool, or both, you will need to choose the Pool field under General Property Description and and select the following three options: Community Only, Private Only, and Both Private & Community. If searching for both fields Pool and Pool Features the ‘or’, ‘and’ and ‘not’ will not be applied. For example, if ‘Community’ is selected under Pool and ‘Lap’ or ‘Play Pool’ are selected under Pool Features the search will not search for community or lap or play pool it will search for community and lap or play pool . The pool type will be displayed here: Related Articles",False
11862399,page,current,https://michael-ai.com/x/fwG1,SomeCompany- How to run the Saturation Analysis Report,"Description The report to compare agents within an office or company by sides, dollar volume, and total. Environment Menu>Statistics>Inventory and Production Resolution Running the Saturation Analysis report in michael-ai will provide the Ranking of the Agent, Agent Name, Number of listings, Dollar Volume, Average, and % Total, within the parameters that have been chosen, within their own office or company. This will NOT rank an individual against the full market as a whole.* Click on the Menu tab Select Inventory and Production Select Saturation Analysis and click Run Report This next step is not required, only if you would like to rank members according to certain criteria Select Reporting Options criteria wanted Items such as Subdivision, Zip Code, List Price, etc. At the bottom enter your date range. Click Next Choose from Rank Members , Offices , Companies , or Companies & Offices Report Options Choose Calculation method Number or Dollar Volume Select Status Current Active, New, Pending or Sold Make any selections in “ how they are to be counted ” These selections only apply to sold and pending listings Calculate numbers and volume using sides*** Enter the ' Maximum number of Members to display ' If a Subscriber would like to rank all members they would enter 99,999 With larger amount of members/offices the longer the report will take to load Click Next *For an individual rank against the market as a whole, use the Ranking Report NOTE: Results from running this Report may vary as there are many different options that can be added and/or choose from.",False
11862402,page,current,https://michael-ai.com/x/ggG1,My Market Information?,"My Market The My Market reports show a variety of information about the current and recent state of your MLS market.  Five charts track and display statistics regarding your MLS market: Inventory, Sold DOM vs. Sold Price, Sold DOM vs. Units, Volume & Average Price, and Hot Sheet Price Change Trends.  Select the report you would like to view from the drop-down list. Note: These reports do not display up-to-the-minute statistics. Instead, they use previously cached data in order to generate information as quickly as possible.  As a result, recently updated listings may not be reflected in the report. You may generate the graphs from any search criteria, allowing for nearly unlimited customization of the data represented. Click the Customize button to define your criteria.  You may use a full search or a saved search to focus your results.  Please be aware, however, that choosing a listing status will significantly affect the resulting chart.  For example, a saved search for ""Active"" listings will not return relevant information about sold listings.  You may also use a previous Full Search from this session - such that if you have refined your search multiple times without navigating away from the My Market page, you can go back to a previous full search to view its statistics again. Inventory - The My Market Inventory chart gives a graphical representation of the state of your MLS market over the past two years. Using the bars and the red, gold, and black lines, you may track the inventory at rate of sales, and the number of active, new, and sold listings. The bars represent the months of inventory at the current rate of sales. The vertical legend at the left side of the graph shows the units of measurement, or you may hover over any bar to see the exact measurement for that month. The red, gold, and black lines correspond to the vertical legend at the right side of the graph. The red line tracks by month the number of active listings, black the number of sold listings, and gold the number of new listings. Hover your cursor over each line on any month to see exact values for that month. Below the graph, you may look at a numeric representation of the data. In table format, you may easily compare listings and inventory month-by-month over the selected time period. Sold DOM vs. Sold Price - The Sold DOM vs. Sold Price report displays a comparison between the Average Days on Market (the number of days between begin date and pended date) for Sold listings and Average Sold Price. The Average Days on Market are represented by columns, and the Average Sold Price by a black line. Data is presented for the past two years. Sold DOM vs. Units - The Sold DOM vs. Units graph charts Average Days on Market (the number of days between begin date and pended date) and Sold Units. The columns represent the DOM, and the black line represents the number of Sold Units. Below the graph, you may look at a numeric representation of the data. Volume & Average Price - The Volumes & Average Prices graph compares the Sold Volume (bars) to the Average List Price of the sold listings (grey line), and the Average Sold Price (black line) over the last selected time period. Hot Sheet Price Change Trends - The Hot Sheet Price Change Trends graph charts the Average Price Change percentage in comparison to the Average Price Change in dollars. This graph is based on only those listings where the list price was changed. Click E-Mail to e-mail a link to the report, or click Print to open the statistical report in a separate window and generate a print dialog box.  Under Advanced, you may detach the information into a separate window, which allows you to keep this separate window open while you refine your search and regenerate the graphs. You may also choose an export option if you would like to export the table information into a CSV (Comma Separated Values) file, which may be opened in a spreadsheet program.  Choose to Export Data Displayed on Page to export the data for the table you are currently displaying, or choose Export All Downloaded Data to export the data for the current report, and all other reports on the My Market page for the current search criteria.",False
11862404,page,current,https://michael-ai.com/x/hAG1,TrueCloud Chat Basics- Expectations,"Response Times in Chat If you do not know the answer right away, make sure you are letting the subscriber know you are researching their inquiry.  This will let them know they are not being ignored. If you respond with a question or answer, and the subscriber does not answer back, these guidelines should be followed: If no response after 2 minutes , Support should respond with “ Are you still there? ” or “ Is there anything else I can assist you with? After this, wait another 2 minutes .  If no response, you will post the Bye chat canned response and end the chat.  We should not be waiting more than 4 minutes for a response. When is it appropriate to Call during a Chat Resetting Passwords in Chat We should NEVER ask a subscriber to verify Key Pin or Security Questions through Chat.  If a subscriber is having password trouble or PIN trouble, we should be going above and beyond by offering to call the them ourselves. Clearing Cookies/Cache with an Agent in Chat In order for the c lea r to complete, the subscriber must close out of all internet windows, including the Chat.  Instead of pasting the directions of how to Clear (and not knowing if it worked or not), we should be calling the subscriber and verbally walking them through the process.  This will help clear any confusion as well as make sure their issue has been solved. Calling Etiquette in Chat If a subscriber is having difficulty and asks for you to call them, or if they can call you, please follow through with the call yourself . DO NOT pawn the call of on another Support Person.  Making the agent call into Support will worsen the situation by forcing another Support Person to enter the call blindly.  The subscriber will be required to repeat themselves and a lot of time will be wasted for both. If our goal is to provide the industry benchmark for customer service, then we should be trying our best to make the situation better for all, not worse. Transferring a Chat Occasionally you may connect with an subscriber who has dropped the previous chat accidentally.  They may ask to be transferred back to their original Support Person so they do not have to explain themselves again.  You can find out who this is (if the agent did not name them) by checking the Atlas or reaching out in L1 Teams.  Under no circumstances should we ever “Cold Transfer” the Chat to this person.  If an Agent wishes to be transferred you will reach out to the party and make sure they are able to take the Chat.  If they are not, you can ask for the condensed version of their problem, then attempt to solve it yourself. Business Communication E tiquette Regardless of the medium that is being used to communicate with subscribers (in-person, phone, chat, email) maintain our level of professionalism . This includes, but is not limited to, proper grammar, capitalization, sentence structure, avoiding slang and abbreviations as much as possible.",False
11862413,page,current,https://michael-ai.com/x/jQG1,InfoAI - Reverse Prospecting,"Description The reverse prospecting module is designed to match a listing agent’s listing with a selling agent’s client that may be interested in the listing agent’s specific property. The function takes the selected listing(s) and looks through all saved searches in the MLS to see if any searches attached to a contact match this listing as a result. Environment michael-ai MLS Menu > Reverse Prospecting Resolution For the Listing Agent: You can run Reverse Prospecting on your listing(s) if you want to get direct exposure to another subscriber who has a client that may be interested in your listing(s). To run Reverse Prospecting: Go to the main michael-ai Menu Select Reverse Prospecting under the Contacts heading in the Menu Select the listing(s) you would like to run reverse prospecting on Click Run Reverse Prospecting This will display agents who have a client in their contact management whose search criteria meets this listing and is a search result From here, they can contact these agents to say “Hello, it looks like you have a client who may be interested in my property….” Note : The Reverse Prospecting function will only look through searches with names that have been specified in Contact Management to be eligible for Reverse Prospecting. This is done by each user on a per contact basis. Reverse Prospecting does not allow mass communication to all agents at one time in realMLS and SomeCompany . The Listing Agent will need to individually contact each agent they would like to reach. In Metro MLS , a listing agent can select up to 200 agents at a time to send a Reverse Prospecting message to (System will not function correctly if you have over 200 selected. would need to send in batches of, at most, 200 at a time ). Each receiver of that message will not see the names of the other agents that message was sent to. Statuses that can Reverse Prospecting can run for include: Active This includes Contingent, UCB, CCBS, First Right of Refusal Delayed/Coming Soon Pending (SomeCompany and realMLS Only) For the Buyer’s Agent: You can enable Reverse Prospecting for clients if you want to be contacted by Listing Agents that have listings that meet your client’s search criteria. To opt your client into Reverse Prospecting: Go to Contact Management in the Menu Select the contact Edit Contact Select checkbox for Reverse Prospecting You may receive a call from an agent stating you came up as a result when running reverse prospecting. This will indicate that this agent’s listing meets the search criteria of one of your client’s searches. To find which client(s) the listing applies to: View listing that the listing agent ran the Reverse Prospecting for Click on the small drop-down menu next to the MLS number and status on the left side Select Match Contacts",False
11862421,page,current,https://michael-ai.com/x/lQG1,SomeCompany Public and Private Documents,"Description New documents in michael-ai are automatically set to Private by default when uploaded. Public documents can be seen in the michael-ai portals or sent via michael-ai in emails. Private documents can only be seen by other Subscribers and cannot be emailed to clients. Environment Edit Listing >Documents Resolution If a document contains any of the following, it must be Private: Websites or phone numbers Contact Information or agent/office branding Open House or Auction Dates Gate codes, lockbox information, showing information Commission or bonus information CMA’s or comparables are not allowed in Public or Private Documents If a Subscriber is unsure as to what can be displayed publicly, direct them to check out the SomeCompany Rules & Regulations and Inappropriate Language Policy , before they post the document. If the Subscriber is still unsure if it should be public or private, direct them to the Data Integrity department and suggest that they either remove it or leave it set as Private until they can have someone check the document(s) for them. Related Articles",False
